1,3,0,0,0,59,70,78
0,3,1,0,1,96,93,87
1,3,0,1,1,57,76,77
0,1,0,1,1,70,70,63
1,3,1,0,1,83,85,86
0,2,2,0,1,68,57,54
1,4,1,0,1,82,83,80
1,1,2,0,1,46,61,58
0,2,2,0,1,80,75,73
1,2,3,0,0,57,69,77
0,1,2,0,1,74,69,69
0,1,4,0,1,53,50,49
0,1,3,1,1,76,74,76
0,0,0,0,1,70,73,70
0,2,4,1,1,55,54,52
0,4,4,1,1,56,46,43
1,2,0,1,1,35,47,41
1,2,5,0,1,87,92,81
1,4,1,1,1,80,82,85
1,3,1,0,0,65,71,74
0,2,5,1,1,66,66,62
1,3,1,0,0,67,71,76
1,1,0,0,1,70,71,71
0,4,1,0,1,89,88,86
0,3,1,0,0,99,85,88
0,1,0,0,1,74,83,72
0,3,5,1,1,58,52,51
0,3,2,0,1,70,66,59
1,4,1,0,1,80,79,71
0,3,1,0,1,90,87,86
1,1,1,0,0,80,81,85
1,3,1,1,1,68,76,79
1,1,5,1,0,69,78,75
1,3,4,1,1,32,35,37
0,3,5,0,0,82,82,82
1,0,2,0,1,57,53,54
1,4,0,1,1,69,74,75
0,3,1,0,0,68,66,72
0,2,1,1,0,74,85,87
0,4,4,0,1,89,85,78
0,2,1,1,0,46,46,48
0,2,1,0,0,76,82,77
0,1,5,0,1,86,82,72
0,3,0,0,1,69,73,67
1,1,5,0,1,52,56,54
0,2,3,0,1,63,71,65
0,0,1,0,0,96,82,90
0,2,0,0,0,80,76,68
1,4,5,0,1,59,52,56
0,3,2,0,0,80,77,80
1,4,5,1,0,65,77,74
1,4,4,1,0,74,83,84
0,3,2,0,1,90,93,84
1,1,0,0,0,69,72,72
0,2,5,0,1,69,67,63
1,2,0,0,1,62,64,61
1,3,4,0,1,67,75,80
1,4,2,0,0,89,93,93
1,2,3,0,1,79,86,78
0,2,2,0,1,67,66,66
0,3,2,0,0,82,74,75
0,2,2,1,0,63,69,63
1,3,0,1,1,71,83,80
1,2,1,0,1,55,68,73
1,1,5,1,1,61,74,71
1,1,1,1,1,35,34,36
0,2,5,1,1,75,77,66
1,1,2,1,0,73,91,88
1,2,5,1,1,56,62,57
0,3,1,0,1,80,70,73
0,2,2,0,0,83,81,78
1,3,0,1,0,64,82,80
1,2,2,0,1,23,33,33
1,3,2,1,0,41,58,59
0,4,0,0,0,61,49,52
0,1,3,0,1,63,46,46
0,1,1,1,0,84,91,89
0,2,0,0,1,55,61,59
0,0,1,0,0,85,75,74
0,1,5,0,1,65,61,57
0,2,1,0,1,88,80,81
0,3,4,1,0,91,93,95
1,0,0,0,1,51,46,42
0,2,0,0,0,73,77,76
1,3,0,0,1,73,89,89
0,3,4,0,1,100,97,91
1,3,2,0,0,48,68,68
0,4,0,0,1,98,79,85
0,1,4,0,1,68,65,60
0,2,3,0,1,64,62,58
0,2,1,1,0,72,67,61
1,2,3,0,1,63,74,75
0,2,0,0,1,43,51,38
0,3,0,0,1,80,75,74
1,2,0,0,1,71,88,83
1,2,1,0,0,91,96,97
1,3,0,0,0,68,84,87
1,1,1,0,1,73,80,78
1,1,5,1,0,75,90,95
0,2,0,1,1,83,62,64
0,3,5,0,1,88,72,74
0,2,3,0,1,59,50,53
0,3,1,0,1,74,69,63
1,2,0,1,1,43,58,60
1,2,5,1,1,76,90,84
1,3,2,0,1,74,75,74
1,1,2,0,0,69,76,72
1,1,2,0,1,62,78,74
0,2,1,1,0,61,58,56
0,4,0,0,1,88,81,77
1,3,2,1,0,64,84,83
1,1,3,0,1,65,79,73
1,2,0,0,0,73,86,89
1,2,4,0,0,50,64,63
1,1,1,0,0,63,72,78
1,4,3,0,1,98,95,100
1,4,5,0,1,90,96,88
0,2,5,1,0,64,71,68
1,1,5,1,1,38,55,52
1,1,3,0,1,84,91,93
0,3,5,0,0,81,74,79
0,3,4,0,1,82,84,81
1,3,1,1,0,64,67,75
1,1,5,0,1,55,60,67
1,3,3,1,0,59,78,80
1,4,0,0,1,83,90,88
0,1,1,0,0,76,79,80
1,3,2,0,0,83,95,97
1,2,1,0,1,69,75,75
1,2,0,1,1,43,65,60
1,2,1,1,1,52,65,60
1,2,0,0,1,56,58,55
0,3,2,1,0,47,46,51
